#SampleID	cow	breed	day	time	rumen_ph	nh3_mg_dl	vfa_total_mM	acetic_acid_percent	propionic_acid_percent	isobutyric_acid_percent	butyric_acid_percent	isovaleric_acid_percent	valeric_acid_percent	hexanoic_acid_percent	heptanoic_acid_percent
#q2:types	categorical	categorical	categorical	categorical	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
S39	433	Holstein	0	18	6.67	6.26	95.1	67.7	19.1	0.5	10.4	0.3	1.1	0.8	0.2
S40	433	Holstein	0	24	6.69	6.38	82.2	68.3	17.9	0.6	10.9	0.4	1	0.6	0.2
S41	435	Holstein	0	0	6.94	6.68	74.6	61.2	27	0.9	8.1	0.8	1.7	0.2	0.2
S42	435	Holstein	0	6	6.46	3.67	78.9	60.8	28	0.7	8.3	0.5	1.4	0.2	0.2
S43	435	Holstein	0	12	6.94	6.76	96.3	59	30.4	0.4	8	0.3	1.4	0.3	0.2
S44	435	Holstein	0	18	7.03	10.8	86.1	66.7	17	0.7	13.6	0.5	1	0.2	0.2
S45	435	Holstein	0	24	6.87	8.27	85.9	59.9	29.2	0.5	7.8	0.5	1.8	0.2	0.2
S46	436	Holstein	0	0	6.39	6.15	85.2	66	18.5	0.9	12.5	0.6	1.1	0.2	0.2
S47	436	Holstein	0	6	5.97	7.15	77.9	65.1	17.3	0.7	14.7	0.5	1.3	0.3	0.2
S48	436	Holstein	0	12	7.23	6.33	73.4	67.5	16	0.7	13.9	0.4	1	0.2	0.2
S49	436	Holstein	0	18	6.48	8.53	78.5	66.8	16.6	0.8	13.9	0.5	1	0.2	0.2
S50	436	Holstein	0	24	6.6	5.77	98.1	57.2	31.8	0.3	8.1	0.3	1.7	0.3	0.2
S51	238	Jersey	14	0	6.42	8.89	87.7	69.3	18.7	0.6	9.7	0.4	0.8	0.4	0.2
S52	238	Jersey	14	6	6.93	6.84	100.7	69.6	18.6	0.5	9.6	0.3	0.7	0.4	0.2
S53	238	Jersey	14	12	6.6	8.44	97.9	68.8	18.7	0.5	10.2	0.3	0.9	0.5	0.2
S54	238	Jersey	14	18	6.35	10.9	102.2	69.6	17.8	0.5	10	0.4	0.9	0.5	0.2
S55	Blank														
S56	238	Jersey	14	24	6.32	9.73	85.1	70.2	16.9	0.8	10.2	0.6	0.7	0.4	0.2
S57	244	Jersey	14	0	6.63	6.95	73.6	68.2	17.3	0.8	11.8	0.5	0.7	0.4	0.2
S58	244	Jersey	14	6	6.79	17.8	66.9	64.7	20.1	0.7	11.9	0.5	1.1	0.7	0.3
S59	244	Jersey	14	12	6.3	7.8	78.8	64.5	20.9	0.5	11.4	0.4	1.2	0.9	0.3
S60	244	Jersey	14	18	6.46	5.36	92.6	64.4	21	0.6	11.6	0.4	1.1	0.7	0.2
S61	244	Jersey	14	24	6.55	6.57	74.8	65.5	19.1	0.8	12.1	0.5	1	0.6	0.3
S62	253	Jersey	14	0	6.73	6.08	71.9	67.3	19.8	0.8	10.2	0.6	0.8	0.3	0.2
S63	253	Jersey	14	6	7.12	3.94	68.4	66.2	20.6	0.8	10.3	0.5	0.9	0.4	0.3
S64	253	Jersey	14	12	6.74	5.3	76.5	66.8	21	0.6	9.5	0.4	1	0.4	0.2
S65	253	Jersey	14	18	6.17	9.96	95.3	66.1	21	0.6	9.8	0.5	1.2	0.7	0.2
S66	253	Jersey	14	24	6.16	6.54	66.3	69.7	16.8	1	10.5	0.7	0.8	0.3	0.3
S67	256	Jersey	14	0	6.5	6	68.4	67.5	17.3	0.9	12	0.6	0.8	0.5	0.3
S68	256	Jersey	14	6	6.3	2.69	82.6	66.9	17.8	0.7	12.7	0.4	0.8	0.5	0.2
S69	256	Jersey	14	12	7.12	4.57	75	65.3	18.5	0.7	13.1	0.5	1	0.7	0.3
S70	256	Jersey	14	18	6.55	8.31	80.8	65.9	18.1	0.7	12.7	0.5	1.1	0.7	0.2
S71	256	Jersey	14	24	6.91	6.81	62.5	68.8	15.8	0.9	12.4	0.6	0.7	0.5	0.3
S72	259	Jersey	14	0	6.6	9.96	69.9	67.5	18.6	0.8	10.9	0.6	0.9	0.4	0.3
S73	259	Jersey	14	6	6.78	8.51	106.8	65	21.1	0.5	10.8	0.4	1.2	0.7	0.2
S74	259	Jersey	14	12	7.06	7.18	82.8	65.2	20.6	0.5	11	0.4	1.2	0.8	0.3
S75	259	Jersey	14	18	6.61	8.93	91.6	63.8	18	0.6	15.7	0.4	1	0.3	0.2
S76	259	Jersey	14	24	6.65	6.06	75.8	68	17.4	0.8	11.5	0.6	0.9	0.5	0.3
S77	408	Holstein	14	0	6.76	7.17	85.3	67.6	17.8	0.9	11.3	0.7	1	0.6	0.2
S78	408	Holstein	14	6	6.22	7.97	57	69.3	16.9	1.3	9.9	1	0.9	0.5	0.3
S79	408	Holstein	14	12	7.18	12	34.2	72.5	14.3	1.7	8.6	1.1	0.8	0.4	0.5
S80	408	Holstein	14	18	7.02	1.58	72.8	66.5	16.4	1	13.8	0.7	0.8	0.5	0.2
S81	408	Holstein	14	24	7.35	5.58	48.5	70.3	15.1	1.3	10.9	0.8	0.8	0.4	0.4
S82	412	Holstein	14	0	6.56	4.97	96.1	66.6	23.4	0.5	8.1	0.3	0.7	0.2	0.2
S83	412	Holstein	14	6	7.04	5.42	96.1	65.2	23.5	0.5	9	0.4	0.9	0.4	0.2
S84	412	Holstein	14	12	6.95	4.57	85.2	65.5	23.7	0.4	8.8	0.3	0.8	0.3	0.2
S85	412	Holstein	14	18	6.98	5.65	94.5	66.3	23.1	0.5	8.5	0.3	0.8	0.3	0.2
S86	412	Holstein	14	24	6.76	0	93.2	67.8	21.5	0.5	8.5	0.4	0.8	0.3	0.2
S87	433	Holstein	14	0	6.62	6.28	116.5	66.4	19.8	0.6	10.9	0.4	1.1	0.6	0.2
S88	433	Holstein	14	6	6.67	7.63	95.1	64.9	20.7	0.5	11.1	0.4	1.3	0.9	0.2
S89	433	Holstein	14	12	6.93	4.97	88.5	65.2	20.7	0.4	11.3	0.3	1.1	0.7	0.2
S90	433	Holstein	14	18	6.77	5.31	97.6	67	19.9	0.5	10.5	0.4	1	0.5	0.2
S91	433	Holstein	14	24	6.66	9.25	94.1	66.9	19.6	0.7	10.4	0.6	1.1	0.6	0.2
S92	435	Holstein	14	0	6.86	7.32	85.3	62.3	16.7	0.7	18.3	0.5	0.9	0.3	0.2
S93	435	Holstein	14	6	6.29	10.3	98.4	62.4	18.5	0.7	16.3	0.5	1.1	0.3	0.2
S94	435	Holstein	14	12	6.9	5.36	90.4	61.8	18	0.5	17.8	0.3	1	0.3	0.2
S95	435	Holstein	14	18	6.79	5.07	96.5	65.5	20.1	0.5	11.3	0.4	1.2	0.9	0.2
S96	435	Holstein	14	24	6.71	5.34	65	64.4	18	0.6	15.3	0.3	0.9	0.3	0.3
S97	436	Holstein	14	0	6.29	6.33	76.7	65.3	21.5	0.7	10.4	0.5	1	0.4	0.2
S98	436	Holstein	14	6	6.62	7.65	81.5	63	22.8	0.5	11.4	0.3	1.1	0.6	0.2
S99	436	Holstein	14	12	7.01	5.06	92	63.4	22.8	0.5	11.4	0.3	1	0.4	0.2
S100	436	Holstein	14	18	6.67	11.1	101.3	63.2	22.6	0.5	11.3	0.4	1.2	0.6	0.2
S101	436	Holstein	14	24	6.32	7.99	111.5	63.2	23.4	0.6	10.7	0.4	1.1	0.4	0.2
S102	238	Jersey	28	0	5.82	8.41	79	69.6	17	0.8	10.7	0.6	0.8	0.4	0.2
S103	238	Jersey	28	6	6.38	8.25	78.3	69.1	17.4	0.6	10.7	0.4	0.9	0.6	0.3
S104	238	Jersey	28	12	6.38	10.1	95.1	69.8	17.7	0.4	10.1	0.3	0.9	0.6	0.2
S105	238	Jersey	28	18	6.75	9.03	92.6	71.2	16.9	0.5	9.7	0.3	0.7	0.5	0.2
S106	238	Jersey	28	24	6.66	7.59	64.5	72.2	15.2	0.7	10.4	0.4	0.5	0.3	0.3
S107	244	Jersey	28	0	6.62	11.7	62.7	68	16.7	1.2	11.7	0.9	0.9	0.4	0.3
S108	244	Jersey	28	6	6.47	14.1	73.9	66.6	19.1	0.6	10.6	0.4	1.3	1	0.3
S109	244	Jersey	28	12	6.83	8.72	58.5	67.4	16.1	0.9	12.7	0.6	1.1	0.8	0.3
S110	244	Jersey	28	18	2.52	11.1	62.3	66.7	16	1.3	13.2	0.9	1	0.5	0.3
S111	244	Jersey	28	24	6.56	8.15	44.6	67.9	15.9	1.7	11.3	1.2	1.2	0.5	0.4
S112	253	Jersey	28	0	6.03	10.8	62.3	68	16.7	1.4	11.5	1	0.9	0.4	0.3
S113	253	Jersey	28	6	6.52	3.61	90.8	66.6	19.5	0.7	10.6	0.5	1.1	0.6	0.2
S114	253	Jersey	28	12	7.07	6.62	88.2	66.4	20	0.6	10.7	0.4	1	0.6	0.2
S115	253	Jersey	28	18	6.2	6.18	80.2	66.4	20	0.6	10.8	0.4	1	0.6	0.2
S116	253	Jersey	28	24	6.07	10.4	64	68.6	16.8	1.2	11.2	0.8	0.8	0.4	0.3
S117	256	Jersey	28	0	6.22	8.31	68.6	68.8	15.7	1	12	0.7	0.9	0.6	0.3
S118	256	Jersey	28	6	6.48	2.78	71.8	68	16.2	0.8	12.5	0.5	1	0.7	0.3
S119	256	Jersey	28	12	6.51	6.68	82.2	67.5	17.6	0.7	11.7	0.5	1.1	0.7	0.3
S120	256	Jersey	28	18	6.59	7.17	91.8	66.4	18.3	0.6	11.7	0.4	1.2	1	0.3
S121	256	Jersey	28	24	6.45	8.34	62.9	69.8	14.9	1	12	0.7	0.8	0.5	0.3
S122	259	Jersey	28	0	6.93	6.71	77	65.6	18.5	0.8	12.3	0.5	1.2	0.7	0.3
S123	259	Jersey	28	6	6.41	5.11	84.9	64.9	18.8	0.6	12.3	0.4	1.5	1.2	0.3
S124	259	Jersey	28	12	6.87	9.01	80.3	64.7	19.5	0.5	12.5	0.3	1.3	0.9	0.3
S125	259	Jersey	28	18	6.44	4.58	75.2	66.7	18.2	0.5	11.8	0.3	1.2	0.9	0.3
S126	259	Jersey	28	24	6.41	5.34	67.9	68.6	16.3	0.7	12.1	0.4	1	0.7	0.3
S127	408	Holstein	28	0	5.89	6.36	99.8	62.7	22.4	0.8	11.7	0.6	1.2	0.4	0.2
S128	408	Holstein	28	6	5.93	15	101.7	62.7	22.8	0.8	11.2	0.6	1.3	0.5	0.2
S129	408	Holstein	28	12	6.48	6.15	108.4	62.2	23.4	0.7	11.4	0.5	1.2	0.5	0.2
S130	408	Holstein	28	18	6.25	11.6	107.9	62.5	23.1	0.7	11.3	0.5	1.2	0.5	0.2
S131	408	Holstein	28	24	6.5	5.63	68.7	65.2	21.5	0.7	10.4	0.5	1	0.3	0.3
S132	412	Holstein	28	0	6.06	5.74	98.4	68	20.2	0.6	9.1	0.5	0.9	0.4	0.2
S133	412	Holstein	28	6	6.39	7.53	94.4	68.7	19.5	0.5	9.1	0.3	1	0.6	0.2
S134	412	Holstein	28	12	6.49	7.44	84	69.4	18.9	0.4	9.2	0.3	0.9	0.6	0.3
S135	412	Holstein	28	18	6.51	6.36	98.8	71.2	18.1	0.3	8.7	0.2	0.8	0.5	0.2
S136	412	Holstein	28	24	6.73	2.44	88.7	70.9	18.1	0.5	8.7	0.3	0.8	0.5	0.2
S137	433	Holstein	28	0	6.17	7.44	90.5	63.1	23.1	0.8	10.6	0.6	1.2	0.4	0.2
S138	433	Holstein	28	6	7.72	14.3	100.7	61.4	24.1	0.6	11	0.5	1.5	0.7	0.2
S139	433	Holstein	28	12	7.03	9.1	146.8	60.3	26.3	0.5	10.6	0.4	1.2	0.5	0.1
S140	433	Holstein	28	18	6.38	5.47	83.2	62.6	23.5	0.6	11.1	0.4	1.1	0.4	0.2
S141	433	Holstein	28	24	6.27	8.51	63.3	65.8	20.2	0.9	10.6	0.7	1	0.4	0.3
S142	435	Holstein	28	0	7.04	5.86	79.3	66.9	20.3	0.8	10.2	0.6	0.9	0.2	0.2
S143	435	Holstein	28	6	6.56	4.62	78.3	67.1	19.9	0.7	10.5	0.5	1	0.2	0.2
S144	435	Holstein	28	12	7.28	4.13	88	67.5	19.9	0.5	10.7	0.3	0.8	0.2	0.2
S145	435	Holstein	28	18	7.01	2.76	83.9	67.2	20.5	0.5	10.4	0.3	0.8	0.2	0.2
S146	435	Holstein	28	24	6.68	3.22	80.1	67.7	20.2	0.6	10	0.4	0.7	0.2	0.2
S147	436	Holstein	28	0	6.57	7.8	83.4	65.2	19.7	0.7	11.9	0.5	1.1	0.6	0.2
S148	436	Holstein	28	6	6.25	11.9	87.1	63.4	20.6	0.6	12	0.5	1.5	1.1	0.3
S149	436	Holstein	28	12	6.8	5.72	81.9	65.1	20.4	0.5	11.5	0.4	1.1	0.7	0.3
S150	436	Holstein	28	18	6.4	7.59	85.5	66	19.5	0.6	11.4	0.4	1.1	0.7	0.2
S151	Blank														
S152	436	Holstein	28	24	6.96	5.76	102.7	65.6	19.4	0.6	11.8	0.4	1.2	0.7	0.2
